player_name,previous_injury_date,next_injury_date,num_games,average_spin_rate,average_velocity,average_effective_speed,average_vx0,average_vy0,average_vz0,weight,height,bats,throws,recurrence,EVENT
"Abreu, Bryan",2024-01-01,2024-12-31,82,2640.038388010309,91.1415727657497,91.26652016218294,5.900343632229329,-132.5313649685168,-3.6317719766905583,225.0,73.0,2,1,0,False
"Adam, Jason",2024-01-01,2024-12-31,83,2542.5002189774577,88.87561742092042,89.13504999129611,3.720283525289886,-129.3145547940464,-4.0935930959064795,229.0,75.0,2,1,0,False
"Adcock, Ty",2024-01-01,2024-12-31,3,2190.059676044331,92.70873827791986,92.97122762148337,4.768693466102504,-134.9295158121996,-4.94804842569068,213.0,72.0,2,1,0,False
"Akin, Keegan",2024-01-01,2024-12-31,68,2411.578528853945,90.22864845861984,89.34644848758037,-6.5042006001871195,-131.1624943779917,-5.084534050537889,235.0,71.0,1,0,0,False
"Alcala, Jorge",2024-01-01,2024-12-31,57,2445.9201486236343,94.06269046358598,93.37588776702113,6.299658059976004,-136.72495899116953,-6.788106554479668,205.0,75.0,2,1,0,False
"Alexander, Tyler",2024-01-01,2024-12-31,24,2228.417749933028,84.85939390136373,84.6550663771625,-4.121892444159774,-123.49645843668955,-2.308215391285166,203.0,74.0,2,0,0,False
"Allard, Kolby",2024-01-01,2024-12-31,8,1925.4565391965339,85.0717996672771,84.70655511991777,-4.725089011976026,-123.7788809224258,-2.4564201842723525,195.0,73.0,1,0,0,False
"Alvarez, Eddy",2024-01-01,2024-12-31,1,1668.4615384615386,63.93076923076923,61.11538461538461,3.6904992268971575,-92.85980764165313,1.1661239571791946,185.0,69.0,1,1,0,False
"Anderson, Chase",2024-01-01,2024-12-31,30,2363.1938949501096,86.20646947585321,85.52223117714229,4.25230536278695,-125.46449767248303,-3.370120736894257,210.0,73.0,2,1,0,False
"Anderson, Justin",2024-01-01,2024-12-31,58,2322.8965935845695,90.82170739963851,91.59723583146616,7.1709672668502,-132.06650718637735,-4.168812342858752,230.0,75.0,1,1,0,False
"Anderson, Nick",2024-01-01,2024-12-31,39,2034.6536202208808,88.54799111164435,88.12141548443405,2.968101664908264,-128.86244264836276,-5.012074192945236,205.0,76.0,2,1,0,False
"Anderson, Shaun",2024-01-01,2024-12-31,6,2464.7441323448115,88.47294955776174,89.44714706611778,4.3235297431553406,-128.74796412163656,-4.420352710321771,228.0,78.0,2,1,0,False
"Anderson, Tyler",2024-01-01,2024-12-31,32,2108.1208925813185,84.43096270804367,84.06756995111499,-4.098451061567238,-122.80394359224354,-5.372429253867062,220.0,74.0,1,0,0,False
"Andriese, Matt",2024-01-01,2024-12-31,4,2407.91800836714,87.82444243446716,87.78013706311435,6.080768385364836,-127.72826227171672,-3.017450056045331,215.0,74.0,2,1,0,False
"Armstrong, Shawn",2024-01-01,2024-12-31,60,2334.801960378009,91.75382571383253,92.27270191623822,5.319997297444998,-133.4876116309723,-4.811224213481776,225.0,74.0,2,1,0,False
"Ashby, Aaron",2024-01-01,2024-12-31,16,2253.2807816005397,90.63598949799295,88.87279501992822,-3.007460205956094,-131.86485914370013,-4.917990590983301,181.0,74.0,2,0,0,False
