player_name,avg_release_spin_rate,avg_release_speed,avg_effective_speed,avg_vx0,avg_vy0,avg_vz0,age,avg_pitches,height,weight,bats,throws,recurrence,event,num_games
"Abad, Fernando",2111.9039581276425,86.85880148657927,86.29575774020218,-1.991494933018877,-126.45140604140586,-4.467389605766897,37.39575633127995,18.9,74.0,235.0,0.0,0.0,0,0.0,10
"Abbott, Andrew",2357.7801886334264,88.0640339185021,88.9296461551971,-4.061922694494341,-128.18191252426027,-4.2212382856750095,24.16440142107493,90.33333333333333,72.0,192.0,0.0,0.0,0,0.0,21
"Abbott, Cory",2341.296177124645,88.33046176412553,88.25139648476033,7.5954534813900585,-128.41551661529365,-2.59905079254938,27.856387281438618,31.954545454545453,74.0,220.0,0.0,0.0,0,0.0,22
"Abreu, Bryan",2681.9642246186936,91.70045472635192,91.76605029011819,5.687054503046979,-133.3576375358914,-3.5653505214513426,26.20321120209791,16.44578313253012,73.0,225.0,0.0,0.0,0,0.0,83
"Acton, Garrett",2401.2179639532583,92.39837167190107,91.66134312310783,7.306053747047727,-134.2186884161622,-6.177440056370512,24.892881587953454,18.375,74.0,215.0,0.0,0.0,0,0.0,8
"Adcock, Ty",2105.4853378540874,90.33899219310982,90.62657201510142,5.898752410669063,-131.42828397197988,-4.7221091207003365,26.333196440793976,15.333333333333334,72.0,213.0,0.0,0.0,0,0.0,15
"Adon, Joan",2224.7094300671693,89.85198012915997,89.94596335478758,6.208349710750086,-130.69710748331758,-4.3554551222633595,25.03399498060689,77.0,74.0,246.0,0.0,0.0,0,0.0,12
"Alldred, Cam",2366.30303030303,81.01818181818182,80.4030303030303,-5.430577386095987,-117.79216454710223,-0.5725295899283319,26.654346338124572,8.5,75.0,205.0,0.0,0.0,0,0.0,2
"Anderson, Grant",2273.3445001807336,88.8222650495232,89.49068949855301,8.891611636582693,-129.09377591163673,0.4928819091169793,26.04527983994103,23.0,72.0,180.0,0.0,0.0,0,0.0,26
"Assad, Javier",2046.1658939717506,89.36632343949248,89.7613571182117,4.830726908763344,-130.04473189386826,-4.9570720355465765,25.953663949557175,52.60606060606061,73.0,200.0,0.0,0.0,0,0.0,33
"Avila, Pedro",2183.9078923295515,87.73377683915598,87.88832846970526,4.078629597109309,-127.67840763609888,-3.016623835743398,26.603304977021605,63.92857142857143,71.0,210.0,0.0,0.0,0,0.0,14
"Baker, Bryan",2224.0316450112978,90.66642467400732,91.09755773260761,1.553005238903672,-131.9195545743162,-6.425242825126507,28.474775536497965,16.392156862745097,78.0,245.0,0.0,0.0,0,0.0,51
"Balazovic, Jordan",2031.0764568628538,89.50513372792784,89.79774592101798,6.251601184634229,-130.20630122813907,-3.915405954985775,24.834131873146244,21.77777777777778,77.0,215.0,0.0,0.0,0,0.0,18
"Banda, Anthony",2058.459987274834,92.2830444185444,92.44527879759129,-6.9485291927867925,-134.15092798295092,-5.051445875750979,29.657377530067464,15.285714285714286,74.0,220.0,0.0,0.0,0,0.0,14
"Banks, Tanner",2212.813945602152,87.82279297844508,87.52657183349814,-6.357926510163857,-127.734741744164,-5.009279066451668,31.74844958828532,30.818181818181817,73.0,210.0,0.0,0.0,0,0.0,33
"Baragar, Caleb",2243.0416666666665,88.41666666666667,89.27916666666665,-6.01727951535359,-128.674214516616,-2.298134648912975,28.93908281998631,24.0,75.0,215.0,0.0,0.0,0,0.0,1
"Bard, Luke",2492.458041958042,89.3015734265734,89.50052447552447,5.755601954312553,-129.90497516610154,-2.158134482348622,32.34861966689482,19.333333333333332,75.0,200.0,0.0,0.0,0,0.0,3
"Barlow, Scott",2493.486227019424,84.4360135065517,85.5547477192441,3.9564523824635316,-122.90230640783113,-1.218294287803073,30.533922386078444,18.62121212121212,75.0,210.0,0.0,0.0,0,0.0,66
"Barnes, Jacob",2281.4142474972714,92.22411496034175,93.19580554650183,3.322400477039363,-134.25361070197806,-5.206494566657712,33.32323750855578,14.1875,74.0,231.0,0.0,0.0,0,0.0,16
"Barnhart, Tucker",1114.0349650349651,41.53363927738928,38.983959790209795,1.7707083976282871,-59.58623524640106,7.302485601757127,32.51266255989049,10.5,71.0,192.0,0.0,0.0,0,0.0,4
"Barraclough, Kyle",2291.9230255303332,86.48507159404475,86.86987673648173,6.4545626886226115,-125.77448621819781,-3.2931193259871967,33.23477070499658,52.0,75.0,229.0,0.0,0.0,0,0.0,3
"Bass, Anthony",2117.4919176088392,88.83783124040343,89.24876561696507,4.397610377923437,-129.27394133346593,-4.2519555450954165,35.48191438951193,14.807692307692308,74.0,205.0,0.0,0.0,0,0.0,26
"Bassitt, Chris",2124.828164855802,85.5645091003431,85.46775750339881,4.295170749559405,-124.48653869303469,-2.1349941729831734,34.331944851862715,94.65714285714286,77.0,215.0,0.0,0.0,0,0.0,35
"Baumann, Mike",2269.631905575554,93.2723947787137,93.79864136052842,5.972714543539716,-135.6444768357223,-5.174070510395227,27.749002263991997,17.184615384615384,76.0,235.0,0.0,0.0,0,0.0,65
"Bazardo, Eduard",2265.543335836208,88.52812824970368,88.03387401669549,4.676880097600531,-128.79102609386746,-4.1901733389503475,27.901984941820665,19.133333333333333,72.0,165.0,0.0,0.0,0,0.0,15
"Beck, Tristan",2355.5920699868366,88.34497524995346,89.15453664513741,6.186676074845131,-128.48621812684124,-3.8824032670631254,27.01614526714176,39.05882352941177,76.0,165.0,0.0,0.0,0,0.0,34
"Bednar, David",2308.3411289735996,91.01987079895315,91.41800038277995,6.294295776790674,-132.36677654905205,-3.8525407760277557,28.722269195152393,16.83823529411765,73.0,250.0,0.0,0.0,0,0.0,68
"Beeks, Jalen",2016.7665060993997,91.00774985457907,91.25862438033604,-4.157521712170895,-132.39522124525868,-5.298233383258241,29.852114574907183,24.272727272727273,71.0,200.0,0.0,0.0,0,0.0,33
"Berroa, Prelander",2357.306372549019,90.4014705882353,90.35980392156861,2.6753822839899972,-131.58876152901047,-5.630889746673438,23.35386721423682,20.5,71.0,170.0,0.0,0.0,0,0.0,2
"Bethancourt, Christian",1524.2,64.97,64.24,3.751880031501568,-94.44642919732895,-0.5422441543979527,31.720739219712527,10.0,75.0,205.0,0.0,0.0,0,0.0,1
"Biddle, Jesse",2607.823529411765,87.27058823529411,87.62352941176471,-6.639752940299313,-126.84840358910456,-4.901411565979351,31.41409993155373,14.5,77.0,220.0,0.0,0.0,0,0.0,2
